                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9494,                 1.7625,                 1.5253,                0.64187,                0.09346,                0.09871,                0.04998,                 1.1145,                 8.5443,                 1.3292,             0.00040008,             0.00040008,             0.00040008
                      2,                0.88774,                 1.1369,                 1.4284,                0.07258,                0.04945,                0.01205,                 0.0042,                 3.2828,                  310.1,                    6.8,              0.0007764,              0.0007764,              0.0007764
                      3,                 1.0084,                 1.3309,                 1.5439,                0.15156,                0.09255,                0.03947,                0.02424,                 1.3927,                 19.288,                  3.506,              0.0011115,              0.0011115,              0.0011115
                      4,                 1.0051,                 1.1643,                 1.5186,                0.15156,                0.09255,                0.03947,                0.02424,                 2.5201,                 9.9695,                 3.0145,              0.0014053,              0.0014053,              0.0014053
                      5,                0.97255,                0.91839,                 1.4506,                 0.1083,                0.02752,                0.00778,                0.00389,                 2.1938,                  48.43,                 2.2389,              0.0013369,              0.0013369,              0.0013369
                      6,                0.90777,                0.85448,                 1.4329,                0.41778,                0.07702,                0.05855,                0.04096,                 1.9601,                  9.078,                 2.1965,              0.0013369,              0.0013369,              0.0013369
                      7,                0.82989,                0.78019,                 1.3562,                0.16283,                0.10631,                0.05822,                0.04052,                 1.5985,                 5.4988,                 1.6622,              0.0012544,              0.0012544,              0.0012544
                      8,                0.76984,                0.72904,                 1.3394,                0.89965,                0.17592,                0.19189,                0.12386,                 1.0978,                 1.6416,                 1.4134,              0.0011719,              0.0011719,              0.0011719
                      9,                0.74458,                 0.7128,                 1.3162,                0.92883,                 0.1796,                   0.19,                0.13635,                0.75433,                 1.2338,                 1.0664,              0.0010894,              0.0010894,              0.0010894
                     10,                0.72837,                0.65658,                 1.2892,                0.62199,                0.14019,                0.10732,                0.05005,                 1.2734,                 1.9191,                 1.2432,              0.0010069,              0.0010069,              0.0010069
                     11,                0.63732,                0.64015,                 1.4195,                0.97375,                0.09346,                0.09938,                0.07001,                0.68132,                 1.2597,                 1.0035,             0.00092435,             0.00092435,             0.00092435
                     12,                0.53838,                0.48136,                 1.3147,                0.99253,                0.31253,                0.32222,                 0.2518,                0.57174,                 1.0296,                0.84888,             0.00084184,             0.00084184,             0.00084184
                     13,                0.45172,                0.43166,                 1.2218,                0.99744,                0.64432,                0.69096,                0.57174,                0.56855,                 1.0506,                0.83036,             0.00075932,             0.00075932,             0.00075932
                     14,                0.41972,                0.40157,                 1.2181,                 0.9965,                0.75213,                 0.8233,                0.63336,                0.68496,                 1.2662,                0.93822,              0.0006768,              0.0006768,              0.0006768
                     15,                0.39673,                0.35776,                 1.1909,                 0.9976,                0.87721,                 0.8854,                0.69424,                0.54034,                0.89415,                0.80597,             0.00059429,             0.00059429,             0.00059429
                     16,                0.39797,                0.36158,                  1.205,                0.99841,                0.99541,                  0.995,                0.75676,                0.51332,                0.76224,                0.80693,             0.00051177,             0.00051177,             0.00051177
                     17,                0.42331,                0.34615,                 1.1802,                0.99895,                      1,                  0.995,                0.82549,                0.46463,                0.70785,                0.75086,             0.00042925,             0.00042925,             0.00042925
                     18,                 0.3731,                0.32684,                 1.1289,                  0.999,                0.99451,                0.99091,                 0.8616,                0.44134,                0.69887,                0.73351,             0.00034674,             0.00034674,             0.00034674
                     19,                0.35835,                 0.3169,                 1.1432,                0.99873,                      1,                  0.995,                0.86624,                0.42509,                0.66098,                0.68932,             0.00026422,             0.00026422,             0.00026422
                     20,                0.32927,                0.30172,                 1.0983,                0.99888,                      1,                  0.995,                0.86169,                0.38914,                0.67231,                0.66263,              0.0001817,              0.0001817,              0.0001817
